# Time-averaged data for fix 3
# TimeStep v_xstress v_ystress v_zstress
1000 0.119767 -0.0711682 2.01046
2000 -0.145557 0.0924817 3.63144
3000 0.0294675 -0.044383 6.31155
4000 -0.00293767 0.0129579 8.30411
5000 0.0162387 -0.00258602 10.287
6000 0.00580708 0.00563557 12.3115
7000 -0.00920547 0.0111255 14.1571
8000 0.0188766 0.00413232 16.1784
9000 -0.00780965 0.00178229 18.0796
10000 0.00469531 0.00626762 19.9447
11000 0.00488518 -0.00551761 21.8289
12000 -0.00161215 0.00343921 23.6827
13000 0.0145079 0.0115762 25.541
14000 -0.012968 0.000187628 27.3689
15000 0.010437 -0.00187663 29.2353
16000 0.00578166 0.00184515 31.0721
17000 0.00530042 -0.0202994 32.9087
18000 -0.0169672 0.0115344 34.7616
19000 0.000576522 0.0105482 36.7042
20000 0.0107134 -0.00623206 38.6312
21000 0.00120346 0.0018031 40.5385
22000 0.00747598 0.00950909 42.3901
23000 -0.00195859 -0.00193644 44.1505
24000 0.0188768 0.027403 45.8502
25000 -0.0148448 0.0168741 47.5017
26000 0.0126087 -0.0093333 49.0756
27000 -0.00233686 0.000843124 50.5699
28000 0.00590485 0.00154875 52.0686
29000 -0.00286125 0.00729565 53.6163
30000 0.000715085 -0.00958999 55.1015
31000 0.00672656 0.00750324 56.499
32000 0.00663376 0.00547681 57.8762
33000 -0.00288876 -0.00869177 59.2119
34000 0.00167274 0.00330718 60.5154
35000 -0.0187271 0.0101598 61.8005
36000 0.00486029 -0.0100224 63.0392
37000 0.00602413 0.00531898 64.3067
38000 0.0241802 -0.0103566 65.5399
39000 -0.00513247 0.0242844 66.8338
40000 0.0168633 -0.00445192 68.0792
41000 -0.0203283 0.00946012 69.2223
42000 0.0145916 -0.0202512 70.4514
43000 -0.00557192 0.0074159 71.6855
44000 0.0180868 0.000520694 72.8411
45000 0.00211084 0.0143983 73.9745
46000 0.000118843 -0.00563283 75.1607
47000 0.0186834 -0.00173918 76.3735
48000 -0.0143754 -0.00445874 77.6675
49000 0.00812958 0.00447806 78.9595
50000 0.0129752 0.0139231 80.2325
51000 -0.00877919 -0.00759195 81.5566
52000 -0.00767094 0.00987825 82.7725
53000 0.00994112 -0.00321843 84.0806
54000 -0.00967785 0.014785 85.4772
55000 -0.00225511 -0.011809 86.9149
56000 0.00490225 0.0275591 88.4198
57000 0.0163967 0.0038096 90.1817
58000 -0.0186002 -0.00620833 91.8842
59000 0.0128811 0.0140454 93.6719
60000 0.00647291 0.00081708 95.9613
61000 0.00270336 -0.000836674 98.304
62000 0.0044666 0.00727095 100.939
63000 0.00302442 -0.00252809 103.853
64000 0.00412381 -0.000292174 107.243
65000 0.0108841 0.00273622 111
66000 -0.00372693 0.007 115.013
67000 0.00497414 -0.00563593 119.347
68000 0.00704723 0.00901527 124.024
69000 -0.00894354 0.00365302 129.053
70000 0.0134567 -0.00817973 134.371
71000 -0.00484673 0.00733073 139.985
72000 0.00815586 0.00395942 145.857
73000 -0.00509209 0.0110519 152.145
74000 0.0187444 -0.00869668 158.957
75000 0.000934283 0.0168212 166.193
76000 0.00975059 -0.00279902 174.087
77000 0.00115354 0.000638994 182.47
78000 -0.198942 -0.190819 77.6533
79000 -0.0117143 -0.0177458 -0.92385
80000 0.00344492 -0.0185804 -1.12341
81000 -0.0777161 0.049217 -0.213366
82000 -0.0367916 -0.00403014 -0.489011
83000 -0.0469955 -0.0183071 -0.104171
84000 -0.0419397 -0.0196108 -0.0521342
85000 -0.0434294 -0.00983067 -0.184571
86000 -0.0509926 -0.0275572 -0.297204
87000 -0.0340253 -0.0116086 -0.0474436
88000 -0.00655222 -0.00855774 -0.168517
89000 -0.0393586 -0.0066121 0.216187
90000 -0.00522537 -0.0299563 0.0546198
91000 -0.00363116 -0.0179852 -0.0459429
92000 -0.0310414 -0.0191299 0.0313462
93000 -0.0379988 -0.0200542 0.186153
94000 0.0254815 -0.0125422 -0.0162961
95000 -0.050051 0.0155621 0.182415
96000 0.00320434 -0.0473292 0.00388798
97000 0.00453264 0.0240472 0.0443659
98000 -0.0291454 -0.0204597 -0.026739
99000 -0.0352129 -0.00130497 -0.0447713
100000 0.0125846 -0.0177908 0.0948819
101000 -0.0338883 0.0263398 0.00951003
102000 0.0291728 -0.0503499 -0.0451929
103000 -0.00452492 -0.00272572 -0.0710542
104000 -0.0447855 0.0113752 0.0163038
105000 -0.0154461 -0.0255726 -0.0423155
106000 0.0396656 0.00484836 0.0404323
107000 -0.0173756 0.00666868 0.043889
108000 -0.038491 -0.0237762 -0.105486
109000 0.0104179 -0.00494175 0.0421685
110000 -0.00833521 0.00549214 0.0529047
111000 0.00381178 -0.0175597 -0.00358781
112000 -0.0103505 -0.00860744 -0.0630217
113000 -0.0247337 -0.00229209 0.00319706
114000 -0.00888109 -0.00709471 0.00227575
115000 0.010193 -0.00467348 0.0225187
116000 -0.00803938 -0.00808793 0.0222952
117000 0.00217242 0.0102489 -0.0174023
118000 -0.00974588 -0.0160186 -0.0138948
119000 -0.0222932 0.0102711 -0.0151963
120000 -0.0131217 -0.0178801 -0.000365307
121000 -0.0214195 -0.0101323 -0.0333282
122000 -0.00280968 0.00350563 0.0125861
123000 0.0309313 0.00555214 0.0376569
124000 0.0089063 -0.010004 0.00984964
125000 0.00570808 -0.00250441 -0.0370931
126000 -0.0059648 -0.0193691 0.021101
127000 0.0176363 0.0282647 0.0353229
128000 -0.000147147 -0.000133636 -0.0550101
129000 -0.0141355 -0.026752 0.032952
130000 0.000281561 0.0198417 -0.00902922
131000 -0.00326952 0.00207306 -0.00984405
132000 0.0108123 0.00836804 -0.00871957
133000 0.0464183 0.00343983 0.0454508
134000 0.000158677 -0.00422931 -0.0269447
135000 -0.0512897 -0.0139607 -0.0142419
136000 0.0294646 0.00989953 0.00806706
137000 0.0381279 0.0299331 -0.00662895
138000 -0.0322852 -0.016995 -0.00782495
139000 -0.0301787 -0.00949033 -0.0135523
140000 0.0466358 0.0229128 0.00119378
141000 0.017544 0.0156742 0.0172403
142000 -0.0150011 -0.0075887 -0.0068323
143000 0.0126344 0.0519992 -0.00711127
144000 0.0532258 0.0502145 0.0551801
145000 0.0443944 -0.0577042 0.008757
146000 -0.0191536 -0.0449051 -0.0779168
