# Time-averaged data for fix 3
# TimeStep v_xstress v_ystress v_zstress
1000 0.118459 -0.0755078 2.06027
2000 -0.10804 0.105109 3.89779
3000 -0.00770299 -0.00614182 6.36112
4000 0.0265062 -0.0230369 8.21935
5000 -0.0455586 0.00946616 10.2408
6000 0.0338702 -0.017364 12.2558
7000 -0.00331092 0.0135051 14.1552
8000 0.0132581 0.031082 16.1164
9000 0.0246669 -0.0113958 18.0565
10000 -0.0134058 0.00135643 19.9139
11000 0.00490219 -0.0216772 21.8432
12000 -0.022028 0.0145543 23.699
13000 0.0219884 -0.0103578 25.6138
14000 -0.00779599 0.00337627 27.5009
15000 0.00367708 0.00897426 29.3408
16000 -0.00316383 0.00858537 31.2241
17000 0.00802125 -0.00157312 33.1008
18000 -0.00145643 0.00532292 35.0393
19000 0.0116715 0.00788382 36.9278
20000 0.0133007 -0.00876722 38.8655
21000 0.00195198 0.00659439 40.8151
22000 -0.013468 0.00296666 42.6338
23000 0.00108566 0.00113188 44.4081
24000 0.000562179 -0.000866182 46.0963
25000 0.00428876 0.0124936 47.7714
26000 0.0026854 -0.0045809 49.3994
27000 0.0182568 0.00784744 50.9932
28000 -0.00892734 -0.00490395 52.4292
29000 0.00664638 0.0107523 53.8618
30000 -0.000131137 -0.00810704 55.2685
31000 0.0147381 0.0155297 56.6166
32000 -0.0155927 -0.0110227 57.8721
33000 0.00709163 0.012207 59.263
34000 -0.000487347 -0.000787237 60.5948
35000 0.0180116 -0.000716598 61.927
36000 -0.0102362 0.00955539 63.1613
37000 0.00747236 0.00300914 64.3785
38000 -0.00810005 0.0127968 65.5775
39000 0.0106481 -0.0134301 66.8475
40000 0.00969548 0.00394631 68.0558
41000 -0.00512777 0.0122701 69.2227
42000 0.00036797 0.0028664 70.4121
43000 0.00280207 -0.0179536 71.6361
44000 0.00521442 0.0126546 72.9387
45000 0.000849643 -0.0143241 74.1543
46000 -0.00244231 0.0221422 75.4484
47000 0.00548168 -0.0164312 76.6668
48000 7.37892e-06 0.0263139 77.9429
49000 0.0149346 0.000593369 79.2092
50000 -0.0107762 0.00363335 80.4926
51000 0.012512 0.00864332 81.8361
52000 0.00425402 0.00480642 83.1657
53000 0.000925076 -0.00464751 84.57
54000 0.0032501 -0.00527492 85.9894
55000 0.01581 0.0022348 87.3867
56000 -0.00629546 0.00538187 89.0101
57000 -0.00393404 -0.000304178 90.62
58000 -0.00273532 0.00834829 92.3709
59000 -0.00598714 0.0010067 94.2131
60000 0.0139856 -0.00214566 96.3155
61000 0.00909196 0.00780008 98.7179
62000 0.0145203 0.00439295 101.487
63000 -0.00679488 0.00036129 104.546
64000 0.0115718 -0.000387434 107.81
65000 -0.00295069 0.00980763 111.488
66000 -0.00313732 0.00613623 115.546
67000 0.00266707 -0.00724224 119.928
68000 -0.0041728 -0.0026838 124.625
69000 0.00346853 -0.00140514 129.702
70000 0.000415914 0.00686644 135.065
71000 0.00584466 -0.00183856 140.708
72000 0.00581389 0.00559018 146.642
73000 0.00932686 0.00440714 153.013
74000 0.0115468 0.00716592 159.859
75000 0.00253313 0.0103117 167.096
76000 0.0118329 0.00356643 175.156
77000 0.00105218 0.00202608 183.728
78000 0.0143584 7.39782e-05 191.679
79000 -0.180812 -0.141824 47.8745
80000 0.025282 0.043517 -1.92235
81000 -0.0193091 -0.00244095 0.0656588
