,0,20,40,60,80
1,300,279,218,240,267
2,246,276,261,265,29
3,246,216,231,232,39
4,275,276,276,271,139
5,217,236,270,276,371
6,276,280,246,257,334
7,242,257,276,235,346
8,250,235,258,276,370
9,272,276,234,276,365
10,244,237,298,240,308
