# Time-averaged data for fix 3
# TimeStep v_xstress v_ystress v_zstress
149000 0.0163851 0.0223686 0.0238848
150000 0.018327 0.00851235 -0.00567685
151000 -0.00983798 0.0234371 0.0233877
152000 0.013449 0.00284749 -0.0456197
153000 -0.00504632 -0.00281512 0.00806175
154000 0.0110629 0.00663634 0.0443663
155000 0.00580465 -0.0245668 -0.0384914
156000 0.0106509 0.0290142 -0.0117226
157000 -0.0126561 0.00479995 0.00545357
158000 0.0146931 -0.00301217 0.00741175
159000 -0.0205799 -0.0275508 -0.0616745
160000 0.026898 0.0377865 0.0298624
161000 -0.0132128 -0.0207562 -0.0345109
162000 0.0010022 0.0102521 0.00195675
163000 -0.00465547 -0.0347281 -0.0280932
164000 0.0149215 -0.000101353 -0.031271
165000 0.00901086 0.045416 0.0476419
166000 -0.012022 -0.0161863 -0.032922
167000 0.0062094 0.0681542 0.0556859
168000 0.0174995 -0.0200297 -0.0152525
169000 -0.00858685 -0.026865 0.0172569
170000 0.0073352 -0.00355763 -0.0733828
171000 0.0110622 -0.0226317 0.00854151
172000 -0.0159874 0.0238782 -0.0241258
173000 0.00864684 0.0159557 0.00984792
174000 0.00463675 -0.00608856 0.0200431
175000 -0.00422503 0.0188428 0.0128538
176000 0.00820971 -0.00464327 -0.0188059
177000 0.0337666 0.0509589 -0.0145701
178000 -0.0158408 0.000685093 -0.018072
179000 -0.00411926 0.00603186 0.0357738
180000 -0.00284611 -0.0127944 -0.0260356
181000 0.0221334 0.0285066 0.0181026
182000 -0.0305088 0.0272367 0.00566443
183000 0.0271154 -0.0202342 0.00675243
184000 0.00665003 -0.0473495 -0.0536633
185000 -0.00271512 -0.0189559 -0.0131063
186000 0.0114763 0.0571681 0.0062084
187000 -0.00604078 -0.0322047 -0.00847762
188000 0.000652277 0.0466512 0.00428227
189000 0.0176803 -0.0613986 -0.0227485
190000 -0.00066065 -0.0150112 -0.00584925
191000 0.00232535 0.0130534 0.0299946
192000 0.0146377 0.0290562 0.0362679
193000 0.00124431 0.0694671 -0.0213483
194000 -0.0192744 0.000911746 0.0323906
195000 0.0401727 0.0463372 0.0232727
196000 -0.0070568 -0.00325842 -0.00989301
197000 -0.0120321 0.00345056 0.0166566
198000 0.0057846 0.0194209 0.0298175
199000 0.0150095 -0.00760639 0.0167002
200000 0.00852328 0.032311 -0.0126461
