Unnamed: 0,0,20,40,60,80
-7,78,53,24,69,104
-6,72,82,60,60,97
-5,78,79,86,95,104
-4,71,79,94,85,118
-3,61,60,73,102,92
-2,72,82,88,85,90
-1,74,81,79,53,0
0,76,77,49,0,56
1,74,60,71,70,4
2,64,67,96,101,55
