# Time-averaged data for fix 3
# TimeStep v_xstress v_ystress v_zstress
1000 0.113089 -0.0750352 2.06158
2000 -0.133563 0.130547 3.82498
3000 0.0181464 -0.030834 6.4657
4000 -0.0111444 -0.015269 8.37931
5000 0.01325 -0.00947079 10.3397
6000 0.0293639 -0.00433397 12.3312
7000 -0.014594 0.0125861 14.2875
8000 0.00559264 -0.00619843 16.211
9000 0.0177895 0.0129845 18.1047
10000 -0.00727428 -0.0101207 19.9073
11000 0.00190717 -0.00530232 21.8701
12000 -0.0097974 0.00115392 23.6826
13000 0.00396529 0.00589481 25.5363
14000 0.0104754 0.021195 27.3817
15000 0.00704592 0.00224965 29.232
16000 -0.0128978 -0.00445492 31.0221
17000 -0.00967619 0.00574064 32.8564
18000 0.0152538 -0.0130998 34.7484
19000 -0.00270226 0.0103685 36.676
20000 -0.000650719 -0.00289923 38.6344
21000 -0.00354532 0.0219678 40.5466
22000 0.0166806 -8.61805e-05 42.4245
23000 -0.00959103 0.00578669 44.2366
24000 0.00699933 0.0111215 46.0004
25000 0.00574016 -0.00350148 47.6578
26000 0.010531 0.00325382 49.2173
27000 0.00305579 0.00278221 50.7424
28000 0.0166135 0.0032847 52.3691
29000 -0.0212839 -0.00063628 53.8618
30000 0.0227823 -0.00503138 55.2637
31000 -0.000955869 0.00491053 56.6581
32000 -0.00330779 -0.000635548 58.0841
33000 0.0118231 -0.00726432 59.4012
34000 -0.00641216 0.0127473 60.7057
35000 -0.00470435 -0.016289 62.0278
36000 0.0207544 0.0118347 63.2744
37000 0.00489806 0.0123624 64.5386
38000 -0.00708688 0.00444699 65.7635
39000 0.00520137 -0.000379137 66.9734
40000 0.00806236 -0.00232481 68.1837
41000 -0.00823505 0.0114756 69.4159
42000 0.0104699 -0.000520487 70.586
43000 1.50741e-06 0.0111836 71.7936
44000 0.000153819 -0.00114236 72.9614
45000 0.000751746 -0.00317932 74.1911
46000 0.00879074 -0.00122714 75.4219
47000 -0.0126069 -0.00733924 76.6281
48000 -0.00699457 0.0457133 77.8245
49000 0.0123543 -0.0270253 79.1166
50000 -0.00723921 0.0212255 80.4113
51000 0.00398093 0.002333 81.6543
52000 0.00580833 -0.00193248 82.904
53000 0.00775587 0.00165627 84.3094
54000 0.00237118 0.00371524 85.6653
55000 0.0127581 -0.000693542 87.1831
56000 -0.00628597 -0.00960083 88.6823
57000 0.0109685 0.0146028 90.2638
58000 0.00730241 -0.00590288 92.1659
59000 0.00260402 0.0143103 94.123
60000 0.0100033 -0.0105504 96.3931
61000 -0.0141345 -0.00523214 98.7084
62000 0.00899155 0.00620072 101.422
63000 0.0074886 -0.00356726 104.405
64000 -0.00298157 0.0142578 107.706
65000 0.0121797 0.00654164 111.512
66000 -0.0095622 0.00289377 115.478
67000 0.00338782 -0.0112625 119.889
68000 -0.00428659 0.012003 124.611
69000 0.014278 0.000810815 129.643
70000 0.00147933 0.00858012 134.984
71000 0.00590844 0.00115032 140.641
72000 0.00767264 0.00120046 146.553
73000 0.00170804 -0.000629784 152.843
74000 -7.51666e-05 0.00765991 159.555
75000 0.00403394 0.00442423 166.844
76000 -0.00221777 0.00650388 174.833
77000 -0.0965951 -0.0480198 137.622
78000 -0.0621287 -0.0400908 2.55195
79000 -0.0501642 -0.0240239 0.581156
80000 0.0578212 0.0055367 -0.333683
81000 -0.0540798 0.0230808 0.501385
82000 0.0160094 -0.0317046 0.236482
83000 0.00607267 -0.0120098 0.115857
84000 0.001269 0.0290217 -0.31609
85000 -0.031732 -0.0324963 0.345593
86000 -0.0236324 0.0132068 -0.0537526
87000 -0.00587203 0.0334198 -0.0732102
88000 9.92918e-05 0.0117917 -0.214094
89000 0.0283416 -0.0379373 -0.0276079
90000 -0.0214755 -0.0285861 0.189771
91000 -0.00209737 0.0159819 -0.0451452
92000 -0.0265741 0.0242767 -0.0292808
93000 -0.00991233 0.0151941 -0.0680089
94000 -0.0144799 0.00514301 0.0634356
95000 0.015706 -0.00867641 0.0239335
96000 -0.0191587 0.00550533 -0.11562
97000 -0.0203798 -0.0106096 0.0667486
98000 0.0066383 0.014764 0.0829431
99000 0.0090494 -0.00564819 0.107918
100000 0.00705901 0.00235334 0.0716034
101000 -0.0212419 0.00733128 0.0287882
102000 -0.00678794 0.00236058 -0.0146078
103000 0.0208225 -0.00256794 -0.135029
104000 -0.0114763 0.000805724 -0.0277819
105000 -0.0318764 -0.00204793 -0.101529
106000 0.0253901 0.005339 0.157457
107000 -0.00398463 0.0193735 0.0518521
108000 -0.0198372 -0.00931097 -0.131021
109000 0.00959699 0.00747361 0.0425811
110000 -0.00443193 0.00329561 -0.0456423
111000 0.00456588 0.00219717 -0.00812672
112000 0.00974598 -0.00242399 0.113419
113000 0.0176084 0.0275988 0.0727936
114000 -0.00227685 -0.0125482 -0.0643532
115000 0.00430137 -0.00863617 -0.010307
116000 -0.0184311 0.0264376 -0.00365277
117000 0.00358009 -0.0164804 -0.0435371
118000 0.0100537 -0.0106447 -0.018808
119000 0.00302434 0.0310769 0.0214277
120000 -0.000393606 0.0100314 0.063708
121000 -0.00997708 -0.0222425 -0.00394315
122000 0.0158573 0.00972586 -0.0521227
123000 0.00803369 0.0121722 0.0866305
124000 -0.00777202 -0.01664 -0.0254828
125000 0.00306826 0.00523835 -0.00495449
126000 0.0113805 0.0190376 0.0903344
127000 -0.0038366 0.00516927 0.00641709
128000 0.0283486 0.00763547 0.0104073
129000 -0.043958 -0.0108245 -0.0394802
130000 0.0142007 0.00411914 0.0164738
131000 -0.0110205 0.0109457 -0.0219735
132000 -0.004816 -0.00535994 -0.0595858
133000 -0.0210426 0.00286142 0.000661375
134000 0.0291221 0.00286725 0.023941
135000 0.0346944 0.0216903 0.0860636
