,0,20,40,60,80
1,300,298,276,273,370
2,246,252,251,230,68
3,246,242,241,289,28
4,275,276,300,276,69
5,217,236,255,261,357
6,276,256,237,238,312
7,242,264,276,293,368
8,250,228,216,216,316
9,272,281,261,216,368
10,244,235,255,276,312
