Unnamed: 0,0,20,40,60,80
0,300,298,276,273,370
1,246,252,251,230,68
2,246,242,241,289,28
3,275,276,300,276,69
4,217,236,255,261,357
5,276,256,237,238,312
6,242,264,276,293,368
7,250,228,216,216,316
8,272,281,261,216,368
9,244,235,255,276,312
