# Time-averaged data for fix 3
# TimeStep v_xstress v_ystress v_zstress
1000 0.103736 -0.0764132 1.97429
2000 -0.0533968 0.097883 3.61772
3000 -0.0422394 -0.009619 6.17214
4000 0.00990363 -0.00980202 8.30088
5000 -0.0150921 -0.013116 10.1811
6000 0.0124386 -0.00425452 12.1785
7000 0.00884798 0.038267 14.1615
8000 -0.00313247 -0.019666 16.1365
9000 -0.0022186 0.000639089 18.0944
10000 -0.0121948 0.00671108 19.9824
11000 0.00644323 -0.00454096 21.8587
12000 0.0171914 0.00507088 23.6873
13000 -0.0170226 0.00566497 25.536
14000 0.0195175 0.0146083 27.4242
15000 0.016056 0.0217463 29.2752
16000 -0.0032226 -0.0104034 31.0913
17000 -0.00456051 0.00151924 33.0305
18000 -0.00808433 -0.00378731 34.9281
19000 -0.00736143 0.00129018 36.8804
20000 0.00427546 0.00493976 38.7958
21000 0.012589 -0.0129568 40.6716
22000 -0.00141577 -0.000128583 42.4911
23000 0.00817361 0.00822632 44.332
24000 -0.000391513 0.0119861 46.0428
25000 0.013623 -0.00295624 47.7825
26000 -0.00947276 0.00324961 49.3612
27000 0.0271086 -0.00842925 50.9153
28000 -0.0145359 0.0140431 52.4313
29000 0.0194863 -0.011461 53.8917
30000 -0.0146825 0.013569 55.3744
31000 0.0115896 0.00281528 56.7895
32000 0.00509666 -0.00658144 58.1599
33000 -0.00761043 0.0102007 59.5486
34000 0.0124746 0.00243754 60.8478
35000 -0.00738754 0.00134182 62.1627
36000 0.00687388 0.00218569 63.4385
37000 0.00346547 0.00757418 64.6941
38000 0.0087357 -0.000424618 65.9089
39000 -0.00463273 0.00432603 67.1744
40000 0.00457401 -0.000335762 68.3651
41000 -0.000702619 0.00133708 69.543
42000 0.00335352 0.00837424 70.8367
43000 -0.000819774 -0.000770484 72.0368
44000 0.00316401 0.000813301 73.2358
45000 0.0211346 0.0128608 74.4904
46000 -0.0106165 0.00626027 75.7439
47000 0.0112544 -0.0141949 76.9118
48000 0.00176345 -0.00361637 78.1452
49000 -0.00621369 0.0134474 79.3399
50000 -0.00562392 -0.0132203 80.6261
51000 -0.00328426 0.010848 81.9576
52000 0.0228428 0.0024016 83.2811
53000 -0.0106271 0.029446 84.697
54000 0.016935 -0.00446949 86.0758
55000 -0.0129038 -0.00241285 87.5386
56000 0.013483 -0.00739783 89.0797
57000 0.00150243 0.00773869 90.6901
58000 0.00372416 0.00593077 92.4333
59000 -0.00241752 0.0021784 94.3823
60000 -0.00120754 0.00419636 96.578
61000 0.00832368 -0.000104364 99.0169
62000 9.88978e-05 0.00300961 101.713
63000 0.00947204 -0.00419992 104.635
64000 -0.00768906 0.0214237 107.977
65000 0.00841285 -0.00524585 111.694
66000 -0.00167439 0.00797239 115.787
67000 0.00561242 -0.0153517 120.218
68000 0.00649417 0.0131562 125.001
69000 0.000449682 0.00683474 130.153
70000 0.000109448 0.00369919 135.422
71000 0.0105852 0.0122802 141.079
72000 0.00338435 -0.00363945 146.976
73000 -0.00349369 0.00837086 153.379
74000 0.0171785 0.00339822 160.159
75000 -0.0052764 0.00839087 167.601
76000 0.00498885 0.00131256 175.493
77000 0.00225973 0.00163288 183.794
78000 -0.0946575 -0.0925383 63.9483
79000 -0.0579779 -0.0362902 -0.084461
80000 0.00204105 -0.012043 0.21556
81000 0.0113986 -0.00799637 -0.206095
82000 0.0203231 -0.0218362 -0.144051
83000 1.31531e-05 -0.0282587 -0.0191697
84000 -0.00649788 0.0622347 0.00895992
85000 -0.00782897 -0.0781051 0.020457
86000 0.00716861 0.0175702 -0.0640124
87000 -0.00760124 -0.023229 -0.0652166
88000 -0.00906774 0.0165649 -0.143947
89000 -0.000135061 -0.00798462 0.00896409
90000 0.00131177 -0.0224752 0.025204
91000 -0.000658263 -0.0162171 0.0460852
92000 -0.00155899 -0.0207688 0.0187744
93000 -0.00751887 0.00964595 -0.110301
94000 -0.00760118 0.000564137 -0.0318579
95000 0.0116611 -0.0265634 -0.0337371
96000 -0.0208305 -0.00327479 0.11968
97000 -0.012115 -0.00447879 -0.0278154
98000 0.0210882 0.0154044 -0.0266742
99000 0.000265874 0.00144584 0.0474126
100000 -0.0217879 -0.000893244 0.0410103
101000 0.012553 -0.0166614 0.006512
102000 -0.0241137 -0.0153065 -0.03742
103000 0.00431071 0.00996055 0.0408937
104000 0.0216389 -0.014763 0.0204484
105000 -0.0132218 -0.00188745 -0.0159118
106000 0.0047568 -0.0117876 -0.014477
107000 0.00725346 -0.00875502 0.0278206
108000 -0.00309279 0.00859053 -0.00483922
109000 -0.00223468 0.00238913 0.00828268
110000 -0.000633933 0.00376878 -0.071573
111000 -0.00438512 0.031324 0.0957397
112000 0.00426403 -0.0421016 -0.0537856
113000 -0.0158119 -0.0157626 -0.0156996
114000 0.00100113 0.0170713 0.0329632
115000 -0.000237065 0.015151 -0.0217554
116000 0.0105339 0.00158574 0.00556791
117000 -0.00865474 -0.0216924 -0.00448787
118000 -0.0214198 -0.0106464 -0.0200225
119000 0.0395645 -0.0216199 -0.0206097
120000 0.00459989 -0.000485237 5.95174e-05
121000 -0.0229216 0.0114865 -0.00508732
122000 0.00712018 -0.0073508 0.0150429
123000 0.00741062 0.0119259 0.00540514
124000 -0.00850183 0.0397353 -0.0101442
125000 0.0257461 -0.00371545 0.0191347
126000 -0.00662959 -0.00174909 -0.00924858
127000 -0.0190027 -0.0401727 0.00258541
128000 -0.00198127 0.00700705 -0.00696742
129000 -0.00923703 -0.0207055 -0.00544212
130000 0.00951643 0.0384765 0.0119581
131000 0.0257584 0.0136724 -0.0226135
132000 -0.0127126 -0.0125954 0.0138506
133000 -0.0094661 0.0307281 0.0168461
