,0,20,40,60,80
1,240,216,229,217,313
2,216,216,227,216,311
3,216,216,216,216,219
4,216,240,216,216,15
5,216,216,216,240,0
6,216,216,216,216,111
7,216,216,216,216,298
8,216,216,216,216,315
9,216,237,221,216,312
10,240,219,235,239,314
