,0,20,40,60,80
1,300,276,254,276,373
2,246,219,262,276,363
3,246,273,276,246,227
4,275,288,239,246,75
5,217,228,253,300,60
6,276,276,276,276,171
7,242,237,246,234,298
8,250,255,246,258,375
9,272,256,221,216,312
10,244,260,295,240,314
